Places,Phones,EnergyBykWh,bikingByHr,CO2ByGram,buskm,lat,lng,,,,,
Amsterdam Nieuw West,581,55776,557760,145250,"1117,307692",52.3582068,4.7324936,,,,,
Amersfoort,1253,120288,1202880,313250,"2409,615385",52.1589457,5.3428038,,,,,
Groningen,873,83808,838080,218250,"1678,846154",53.2216999,6.5297327,,,,,
Utrecht,1007,96672,966720,251750,"1936,538462",52.0841037,4.9424092,,,,,
Oost-Nieuw-west,749,71904,719040,187250,"1440,384615",52.3582223,4.7675139,,,,,
Rotterdam,654,62784,627840,163500,"1257,692308",51.9278891,4.3503239,,,,,
Drechtsteden,683,65568,655680,170750,"1313,461538",51.814545,4.6803233,,,,,
Etten-Leur-Drimmelen,757,72672,726720,189250,"1455,769231",51.5759679,4.5724798,,,,,
Waardlanden,830,79680,796800,207500,"1596,153846",51.5746127,4.0821402,,,,,
Eindhoven,681,65376,653760,170250,"1309,615385",51.4455368,5.3814713,,,,,
Flevoland,521,50016,500160,130250,"1001,923077",52.5480054,5.286725,,,,,
Rivierenland,729,69984,699840,182250,"1401,923077",51.7699971,4.9574082,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
